,0
163,"
悪い評価がつくと売れなくなりメルカリ自体が儲からなくなりますし、ユーザーの質が悪いと思われてしまうからなのでしょうけど簡単に悪い評価を消しすぎでは？
だから購入者はいい加減な出品者から購入してしまったり、出品者もタチの悪そうな人を前もってブロックしておくなど対処が出来ずいつまで経ってもトラブルが絶えないことに。
その上、当人同士で話し合えと丸投げ。
そりゃユーザーの質が落ちていく一方なのも納得です。
表面だけ取り繕ったってもう遅いのです。
"
164,"
メルカリとヤマト（ネコポス）で
私は出品者側でトラブルに遭いました。
メルカリの返答は聞いたことには答えず何回も何回も同じことを尋ねる羽目になり、次の指示も聞かなければ返事をしてくれず
送ってくるのは定型文ばかり。
本当に最悪です。
"
165,"
欲しいものがあったので、登録して、出品者マイルールにしたがって購入意思を伝えたが、無言でコメント削除。ブロック。え？？？
そもそもマイルールも微妙だけど。失礼な人とは取引したくない旨書いてありましたが、ご本人が1番失礼。そうやってブロックしていればいい評価しか残らないのね。
それを表に出す術はこちらに無いし。

退会しました。
"
166,"
メルペイスマート払いの限度額が安定しない。期限内に支払いしても減額されて100円、おにぎりも買えねーよ。払うもん払ってんだから、増額しないにしても利用額は戻そうよ。
"
167,"
全体的に利用者の民度が低すぎると思います。

出品者に関しては発送期日を過ぎても発送しないという事があり、挙げ句の果てに結局キャンセルという事が何度あった事やら…出品する気がないならはじめから出品するな!

一方で購入者に関しては…値下げ交渉は当たり前のようにされ、値下げしたにも関わらずクレームを言うクレーマーばかり…新品同様を求めるなら店で買ってほしい。本当に迷惑極まりない。

事務局の対応も基本購入者ファーストなので出品者が泣き寝入りするしかなく…なんだかストレスが溜まるし疲れるのでメルカリは退会します。

メルカリで売るぐらいならリサイクルショップに売った方が全然ましです。

これからメルカリを利用しようと思ってる方はこういう民度の低い人が沢山いるという事を覚悟の上で利用した方がいいです。
"
168,"
ATM払いで買って期限切れキャンセルするユーザーも、悪評価されたくなくて受取評価しないユーザーも野放し。

出品画像や商品説明の無断転載を禁止行為と明記しながら、通報しても対応せず。
あまりに丸パクな商品ページで不愉快だったので何度か問い合わせてもテンプレ返答のみで一切変化なし、しまいには問い合わせそのものを無視します。

その反面、友人は確実正規品のブランドバッグを嫌がらせ通報で何度か削除されたりと、判断や対応の基準が明らかにおかしい。

こんな杜撰な事務局スタッフのために他フリマより高い手数料を払うのは嫌なので、他フリマに乗り換えます。
"
169,"
ハズレあるある

「運営の口コミ評価と
実際のコメント評価に差がありすぎる。」

んでもって、実際に利用した際の経験
トラブル起きてもテンプレ回答ばかりで会話が成り立たず役に立たない。
"
170,"
問題があった時に、問い合わせても的を得ないbotのような返事がくるだけ。質問に対する答えになっていないので、もう一度丁寧に質問すると、先程と同じ内容の返事がくるだけ。やる気無しですね。とりあえずコピペで返答してるだけ。まぁ担当者によるのかもしれませんが。
いらないものを処分するにはいいですが、何か問題があった時には泣き寝入りする覚悟が必要です。
"
171,"
他の方の出品を見て売れているのを確認してから自分も！出品したにも関わらず…
利用制限を食らってしまいました。
なぜ…？
おかしいよね…？
もう少し…まともに仕事をして欲しいです。
いい加減すぎる。
"
172,"
チケット販売について。
昨日とあるアーティストのライブチケットが1枚余ったので早速出品。実名と席順は塗りつぶしで出品しました。そしたら5分と経たないうちに、出品削除のメッセージが来て、それじゃあ他の出品者さんたちがしているように実名を紙で隠して再度出品。即、メルカリ事務所から出品削除され、24時間の利用制限がかけられました。それじゃあ、誰がどこでどれだけの人が閲覧しているか分からないのに、実名晒せとメルカリはおっしゃるんか？付箋で実名、席順隠して出品している人山ほどいるのに、何故私だけがこんな扱いされないといけないのか全く理解に苦しむ。
クソメルカリではなく、チケット類専門のサイトで出品したら、手数料は5.5%、メルカリの約半分の手数料でサイトも使いやすかったし、今後チケット類はそのサイトで販売しようと思ってます。
手数料高いくせにメルカリって会社にあぐらかいてるし、来月から送料値上げ！出品者の事何にも考えていない。利用制限されて今回初めて使ったサイトの方がよっぽど使いやすかったし、手数料も約半分で済んだし、2度とメルカリでチケット類出品しない。
"
173,"
赤ちゃん用の肌着が下着扱いらしくて商品削除されて利用制限もかけられた。
だったら全部制限してほしい。
私のだけやられた。
しかも単品売りじゃなくてまとめ売りで最後の方に少し出てくるやつ消すとかなんなの。
"
174,"
とても横柄な態度であるし、本当に人が会話をしてますか？問い合わせ内容読んでますか？と聴きたくなるような対応です。
納得が出来ずに何通かメッセージのやり取りを行った所、何の連絡もなく強制退会させられました。
アプリ内の問い合わせ欄でのやり取りのため証拠も残せず、、、。
こんな運営方法があっていいのでしょうか
"
175,"
他の方も被害に合ってる様でトラブル対応が最悪　定型文ばっかり送ってきて実際に調べる気O 
メルカリの会社、アプリに対して評価が高いコメントは嘘が多い感じ 
ヤフオクと比べて出品者の品物の質が悪い
なので客層が悪いみたいな
限定的につきあうべし
"
176,"
出品禁止の物を報告しても、ほったらかし。何の為のシステムなのか？問い合わせても同じ答えでラチがあかない。
"
177,"
手っ取り早く処分出来るので利用していますが、利用者の多くは、殆ど民度がかなり低く、常識も無い。
10%も手数料を取る癖に、トラブル対応は遅く、いい加減。
転売屋ー、コピー販売偽アカウント中国人、1円でも安い物を買い漁るハイエナみたいな貧乏人の巣窟。フリマアプリではなく、スラム。
トラブル防止の為に（新規）（評価無し）（本人確認無し）（コンビニ支払い）は、取り引き一切お断り。
ガチガチにガードしています。
うっかり変な相手に当たった場合は事故レベル。
売る側ですが、相手はかなり選んでいます。
"
178,"
購入しても、連絡等が遅すぎる！！挨拶も無い人が多いいし携帯見てないことはないと思います！個人的な事情があると思いますが、購入側としては待ちどうしいですょ！又商品事態の書き込みに嘘が多いいですね！！だから無言購入して欲しいんだなぁ~と感じました。
"
179,"
【商品・サービスを購入、利用したきっかけ】

安いものが買える

【良かった点】

安いものがある

【気になった点】

他の方の意見にもありましたが、とにかく何かトラブルがあってもメルカリ事務局もメール対応のみ。300円でも何十万でもです。そしてトラブルなのにレスポンス悪すぎる。返信が来るのに3時間(T_T)全然進まない、とんちんかんな答え、コピペした内容、近々やめます！わたしは絶対知人に勧めない。こんなにストレスがたまるのははじめてです。合う人には良いのでしょう。わたしはお金払ってもいざという時にしっかり電話対応してくれる所にします。

【今後も引き続き利用・使用したいか？】
近々やめます。手続きに時間かかるので
"
180,"
ブランドバッグを出品しました。質屋で本物と認定をうけ、シリアルナンバーなども記載したのに、何度も削除され、無期限の利用制限みたいなものになりました。しかも、売れて発送中の商品も削除され相手とは連絡もとれないし、事務局から相手から商品を私の送料持ちで送り返すように言うかと連絡がきましたが送料かけてまではと思い、結局無料で相手にあげました。そっちが勝手に削除してお金うけとれないのだから、メルカリ側が送料もてとも思いましたし納得はいきませんでした。メルカリは何かトラブルがあっても電話対応できずメールのみだし、勝手に偽物扱いされ発送中の商品まで削除されるし、最悪です。抗議しても理解して下さいしかないし、本当にむかつきました。何をもって偽物と判断するのかよく分からないし、対応も悪すぎる。トラブルがないうちは問題なく利用できると思いますが何かあった時は事務局も頼りなさすぎる。
"
181,"
事実のみ記します。

家族に数万円分のメルペイを複数回送金したところ、安全確認のための利用制限をされました。


本人確認のために身分証の写真を求められたため、すぐに免許証の写真を撮影し、送りました。

メルペイを受け取った家族も同様に利用制限され、免許証の写真を送ったそうです。
互いの免許証に記載されている私と家族の住所と姓は同一です。

免許証の写真を送った後、「さらなる本人確認」と称してマイナンバーカードと住民票の写真を求められました。マイナンバーカードは所持していないため、別の身分証にして頂けませんかと言いましたが、それでも頑なにマイナンバーカードの写真を求められました。

結果的に、作りたくなかったマイナンバーカードの申請をさせられました。
免許証の写真を提出した後、出品中だった商品を全削除されました。安全確認のための利用制限のはずで、規約に反するような商品は一切出品しておりません。

やっと本人確認をクリアして利用制限は解除されましたが、削除された出品ページは元に戻して貰えず、事務局に元に戻して欲しいと言うと、10分の１だけ復元されました。再度、すべて元に戻して欲しいと伝えたら、ほぼ復元されました。

しかし復元された出品ページの約３分の１が、検索結果に表示されない、いわゆる圏外飛ばしの状態になっており、それを伝えると、事務局で復元した時間帯に一部で不具合が起きた。自分で出品し直すように言われました。

３分の１とは言え、かなりの量になります。驚いて、大量にあるのですが、これをすべて自分の手で再出品しろということですか？と聞くと、また同じ答えが返って来ました。

結局、事務局に削除された出品物を、何時間もかけて再出品させられました。
"
182,"
今回6月から送料が上がるけど、上げすぎです。
1例えば1000円の物が売れてメルカリに10%引かれて900円。
ヤマトのコンパクトだったら450円も引かれて、さらに箱代もかかるわけです。
そうなるともう出品しない方がいい。
近くの古着屋さんにに持って行っほうがよっぽど良いです。
"
183,"
メルカリに同じ商品が多数出品してあったので、出品したところ一瞬で削除されました。何故削除されてしまったのか問い合わせしたのですが、未だに回答はありません。最悪な気持ちです。因みに同じ商品がまだ出品されています。
"
184,"
値段的にいいなと思った商品をみつけ、購入してすぐに出品者の方に連絡をさせていただきました。すると4分後に返信が返ってきたみたいなのですが、私はすぐに気がつくことができずに20分後ようやく気づき返信をしました。するとあるメールがメルカリから送られてきて、出品者から購入のキャンセルを申し込むものでした。理由を見てみると、返信がないとのことでした。そのあとのメッセージを見ると早く返信できないなら買うなとのことでした。たしかに発送などの手配もあるかと思いますが、そのように怒ることもないのでは？思いました。この件に関しては私にも悪い部分はありましたが、四六時中スマホを見ていられるわけではないので少しは配慮してほしかったなと思います。
"
185,"
メルカリのサポートに問合せしてみてください。対応が最悪です。
他者の取引が私の取引になっているようで、是正の連絡するも、ものすごくエラそうな対応で驚きました。こんな会社、存在していいはずがありません。
アルバイト？に対応させているのでしょうが、日本人を話しますが日本語を理解できないようです。
登録した個人情報が心配でたまりません。
無事、抹消してくれることだけを望みます。
"
186,"
ブランドバッグを出品。
シリアルナンバーもきちんと出しているのに、偽物の疑いがあるとのことで、いきなり出品削除に。

値段を上げて出し直したので、いいね!していた方が面白くなく、通報したのかもしれません。

きちんと確認も無く、いきなり削除され、偽物の疑いとは。

大変不愉快です。
"
187,"
某事務所のアイドルのガチャガチャや文房具店などで買った非公式のブロマイドを何点か出品していました。
事務所側から削除要請があり削除しました、とのことでしたが、ブロマイドを何点か出品していたため数が多すぎたせいか同時に無期限利用停止をくらいました。
削除されるのは自分の認識が甘かった故の事だと受け入れてはいますが、削除された後にまた出品し権利侵害等の行為を繰り返したわけでは無いのに急に無期限利用停止つまり垢BANをされたのが納得がいきません。
数が多すぎたせいでなのか、権利侵害等の行為を繰り返したと判断されているのなら納得がいきません。
購入したいとお声がけして下さっていた方もいたのに、あまりにも急な事に戸惑いしかありません。
せめて事前に通知し、それでも改善しなければ無期限利用停止等の措置でも良かったのでは無いでしょうか？

結局は自分が悪いのですが、どうしても気持ちの整理がつきません。自業自得だ、と言われても仕方がないのは分かっています。

別のサイトを初めてみましたが、メルカリの方が使い勝手がよく尚更もやもやした気持ちでいっぱいです(´；ω；｀)
"
188,"
まず基本的に電話対応はやっておらず
トラブルや問題は専用サイトからメールでお問い合わせ。
トラブルがあったのでお問い合わせすると
回答が的外れな事ばかり言ってて違和感。
『私が要望しているのはその事ではない』と指摘のメールを送っても同じ内容。
決められた文をコピペで回答しているだけなのかと思いました。
トラブル解決のお問合せメール窓口として機能していない事に少し苛立ちを感じたので、負けずに何度か対応の悪さを指摘しながらメールを送っていると
やっと要望していた内容についての回答がきた。
(『ご希望に添えない』と対応も最悪だったが笑)
しかも、毎回返事が返ってくるのは1〜2日以上経過してから。
この1つのお問い合わせで4通ほどやり取りしましたが
こちらが要望していた回答を頂くまでに7日かかりました。
メールの回答はいい加減、対応も最悪、返事も遅い。
メルカリの機能は悪くないのに、運営側が最悪
"
189,"
稼働チェックをして出品したら、壊れて返って来た。
購入者によると、不良品。
大型商品にて、梱包せずに大型らくらくメルカリ便に依頼。
仕方なく返品にはおうじたが、壊れて返って来た上に、何日も不毛なやり取りをして、精神的に疲れました。
メルカリ本体も、問い合わせには応じるが、こちらの問い合わせと、違う回答が返ってくるなど、親身には対応してもらえません。
壊れた原因はわからず。
購入者が、受け取った時に不良品と言うなら、運送会社しかないのですが、認める訳もなく、当然修理も保証もされません。
結果、壊れたまま、返品送料など、負担が掛かり、泣き寝入りです。
購入者にもよるでしょうが、着払いだから適当に返品されショックが大きかった。

トラブル対応は×
金額の大きい物は、出品出来ません。
いざという時、当たり前に対応はしてもらえ無いことを念頭に使用を考えたほうが良い。
"
190,"
値下げ交渉せず購入後すぐコンビニに行って支払い
受け取ったらすぐに中身をチェックして受け取り連絡と良い評価
にも関わらず、コメントが無いので終始不安、信用に値しないと悪い評価を付けられた。

１度だけなら偏屈な出品者に当たったか・・・で済ませられるけど
２度も３度も似たような評価を付けられると
ああ、ここはこういう所か。と察しちゃいますね。
購入する側が下手に出て出品者のご機嫌取りをしないといけないなんて、頑固親父の個人商店みたいですね。

私が出品者なら言い値で買ってすぐに支払いしてくれて
受け取ったらすぐに連絡してくれる購入者なんてすごい上客に思いますがね。
逆に頻繁にコメント入れてくる購入者なんて馴れ馴れしくて気味が悪いし
そんな暇があるならさっさと取引進めろよ。と思っちゃいます。
まあ、この辺は個人の考え方なのでしょうが。

最近は欲しい商品を見つけても、プロフ欄や商品説明を見て
面倒になって買うのをやめることが多いです。
"
191,"
メルカリを始めて、約半年位です。出品した商品が売れるまでのやり取りとか、売上が上がった時の楽しさとかが面白くなっています。出品する際には、出来るだけ細かく内容表示に注意して、発送する際にも、きちんと梱包して、また、購入してもらった時、発送した時、到着後の評価の際にも、必ずメッセージを添えて対応していたのですが、ある取引の後に、星5つから、
いきなり星４つになりました。その方が、何かが気に入らずに評価をされたと思うのですが、内容が判らず、また、心当たりもありません。メルカリのシステムでは、報復評価を避けるために、出品者の評価後に、購入者の評価が見れるとの事ですが、残念だった場合は、内容が出品者に伝わる様に改善して欲しいと思います。何が気に入ってもらえなかったのか、モヤモアも残りますし、気づかなければ直せません。お互いに気持ち良く取引をするために必要な事だと思います。
"
192,"
機能、品揃えは豊富だが運営の対応が糞悪すぎる。てか、古着を出品して垢バンとか意味不。別のフリマサイトをオススメしますね。
レビューはフリマサイトで過去1番最低の1です。
"
193,"
出品も購入もしていましたが、
事務用品を出品した際、購入者から、不良品だから返品したいと。
発送前に何度も動作確認したのに、購入者に届いたら不良品だと。
しかもご自分で点検したらしく、この部品が劣化していましたよ、と。
あれこれ言っても仕方ないので、返品には応じましたが、購入者が必要以上に触ってしまったことへの対応を問い合わせてしましたが、返って来たのは、返品のマニュアルだけでした。
トラブルが無ければ普通。
トラブル対応は、最悪です。
動作確認の動画を証明として、トラブル回避として、商品ページに掲載出来れば良いけれど。
今回は、色々勉強しました。
これから始めようと思っている方は、良く考えてトライして下さい。
わたしはもうこりごりです。
精神的に疲れました。
"
194,"
商品説明、10枚の写真をよく見ないで、1枚目の写真と値段だけを見て購入される方、結構いてます。
当然、後日クレームです。
年配の方、初心者の方に多い見たいです。
出品者としては、全て理解したうえでの購入と判断して、梱包、発送致します。
手間隙かけて、クレーム、キャンセル、
鬱陶しいので、返品無しキャンセルで、対応していますが、まったく手間代も出ません。
基本的にフリマは、よほどの事が無い限りノークレーム、ノーリターン、だと思います。
簡単にキャンセル、返品、やめて下さい‼️
"
195,"
トラブルがあった際の対応はありえないので気をつけてください。
基本的には双方で話し合いくださいスタイル。
配送中に何か起きても返品には応じてください。送料は事務局で負担しますとのことだったのに補填されずに事務局が問い合わせを強制終了。及び取引を事務局がキャンセル。
警察に相談すると問い合わせるとす具に返信が来て補填しましたとのこと。
危ない会社ですね。
"
196,"
システム不具合多発します。
手数料も販売価格から10%も取られるので、
 高すぎて費用対効果が低い
"
197,"
ブックマーク機能
これを追加してほしい。

出品物に【いいね】ボタンがあり、それをチェックしておくとトップページにいいねを押した出品物一覧があるのでブックマーク機能といってもいいかもしれません。
ただ、出品側からすると購入意思のない【いいね】が迷惑に感じられる人を多くのみかけます。←プロフィールに購入意思のない【いいね】お断りとかいてあったり。たぶん大量のいいねお知らせで他のお知らせが埋もれてしまったりして、対応が遅れてしまうのでしょう。

出品側がより迅速に簡潔に対応、かつ無駄なトラブル回避にもなるのでブックマーク機能の追加を希望します。
"
198,"
メルカリを始めた当初(7年前)はメルカリ事務局の対応が素晴らしいように感じたが
ここ最近は悪徳利用者ばかりだし、それに対するメルカリ事務局の対応が最悪です。
悪徳利用者の肩を持つメルカリ事務局には呆れました。
"
199,"
みんながやっているからと言うわけでは無いですが、規約にもダウンロード版のゲーム販売は大丈夫と記載がありました。
それをしていたらいきなり無期限利用停止！　
無期限って事は何年かしたら使えるのか質問しても、コピペでハッキリわかりずらい。
自ら退会しろと言う事ですか？と質問してもコピペ。
言いたい事色々ありますが、ちょくちょく見る辛口の口コミ、これは単なる噂のとかではなく、本当に対応が悪いと思います。
ま、売上手数料も高いし、こっちから使う事は無いでしょう。強制退会のようで使えませんが。
一部、メルカリ事務局からの画像そのまま載せます。
"
200,"
2022年 四月に、哲学の古本を買ったのにら出品者がヤマト便の宛名伝票を他の人と間違え貼り違え、家事の本が届きました。メルカリの対話欄で先様は「そんな本は持ってない」だけで後は完全無視。メルカリに本人連絡先や配送し直しなど解決をメール依頼しても、「ご本人同士で解決して下さい」のメッセージだけ。メルカリは電話も手紙もホームページなの無く、泣き寝入りです。
"
201,"
数取引してますが
その分トラブルも、発生します
事務局の対応が遅い、悪い

それ以外は使い易いと思います
送料分も上乗せされて手数料引かれるので
金額がさほど出ないものは
手元に売り上げとして残りません
改善していただきたい
"
202,"
購入した商品と全く違うものが送られてきた為、出品者に連絡するも返信無し。
運営にその旨を事細かく画像付きでメールしたところ、運営側は出品者に対しメール返信の催促をするのみ。
何の解決にもならない。
出品者と購入者の間に入って売買をサポートするというのは綺麗事で何一つまともな対応が出来ていない。
埒が開かない為こちらが訴訟を起こしている最中です。
"
203,"
マニアルどおりの対応すぎてお話になりません。
バイトが返答等してるにしても、商品の事は知るべきです。
本にしても法律云々いう割には、内容しらなすぎて条例を出してきて削除が当たり前。引っかかる作品は、多々あるのに…
もう少し、商品や作品に詳しい方を雇えば良い方向に行くと思います。
この評価です。

機能についても不要なものが多く、ラ●マのように購入できる人選べる機能とか作ればキャンセル率減るのではないのでしょうか？
"
204,"
最低最悪で酷すぎ。もう二度と使わない。他のサイトなら全て電話番号変更は出来るのだが、認証に免許証などを使わせる。その時本名じゃなければ認証しない！
ゴミとしか言いようがない！
金を返せ！
"
205,"
コメント入れてから購入しろ、プロフ必読、それはまだいい。
取引中コメントがない、出品側が大切にしていた物を売ってやっているのにコメントしない購入者なんかに売りたくなかった、的な内容で悪い付けられました。
コメント入れて出品者からの承諾後に、値引き依頼する訳でもなく書かれた値段で購入しました。
払い込みも即行いましたし、商品が届いた次の日に受け取り連絡してます。
(届いた当日留守いていたため受け取りが遅くなった)

でも、取引中のコメントがないから悪い購入者、だそうです。

大切なものなら出品しなければいいのでは？
その価格で売ります、と意思表示していたから、その価格で買います、と購入したんです。
売りたくないなら売らなきゃいい。
出品側の価値観を押し付けられ、嫌な気分になる買い物はしたくありません。
こんな、売ってやったのに、と言うような感覚の出品者ばかりだと、買いたい気持ちも萎えますね。
今後出品者ばかり増えて、購入側が離れていかなければいいですね。
"
206,"
出品者さんが、専用、取り置きはしない、と自分のプロフィールに書いていたのに、買おうとしたら〇〇様専用です。他の方は購入なさらないで下さい。と書いてあって悔しかったです。　買ってもどうせ取引キャンセルされるだろうし。
"
207,"
スマホバージョンでは無い方で出品や購入して半年程出来ていたのに、急に制限がかかり使用出来なくなり、その後本人確認を求められメールで写真や証明を送信したが認められず。一切メルカリにログインも出来ずです。本人確認が弾かれた理由も未だに不明ですし。偽物や怪しい物販売した覚えもなく、情けないですが二度とメルカリは利用出来ないみたいです。諦めて他で販売購入しています。
"
208,"
相手から理不尽な内容でキャンセル申請が送られてきた。
仕方なく同意したらこちらがペナルティを受け、
しばらく利用出来なくなりました。
なんなんですか？このアプリは。二度と利用しません。
"
209,"
とにかく、運営の対応が悪すぎる。メッセージを送っても、全く内容が同じ、コピペの文章がひたすら送られて来るので、こちらが尋ねている事と返って来る答えが全く噛み合わない。
読んで貰えて無いと思います。

質問に対して、通常の答えを求めて居る方はメッセージなんて期待しない方がいい。
"
210,"
問合せはまったく機能していない
質問と違う回答がくる
都合の悪いことには回答しない
規約が曖昧で削除されても理由がわからない
規約にない理由で削除される
規約を守っていても嫌がらせの通報で削除される
削除される人とされない人がいる
削除を解除されてもまた削除され毎回問合せすることになりまったく改善されない
問合せで出品可能と返信がきたのに削除される
トラブルを解決する気が事務局にはない
"
211,"
本人確認したいけど免許証なくてマイナンバーも作ってなくて
パスポートならあるのですが、新しいバージョンは使えない。
本人確認できる唯一のものが新しくて使えない。
使えるように来て欲しいですね。パスポートもお金かけて作ってるのに。。。
できるようにしてほしいです。
"
212,"
新品未使用を低価格で出品するが、手数料10%、送料を引くと大赤字。それなのに知っていて、購入者は値引きを要求する。消費者がまずは最悪。
出品ルールがあり、さんざん赤字経営なのに、出品停止、購入停止は当たり前。まだ購入残高が残っているから、商品を販売したいが、私は停止中。二度と利用しない。
友達にもみんなに教えてあげてます。こちらで手数料、送料待ちで、大判振舞いで差し上げないと購入して頂けないのが、メルカリだと広めてます。ホント最悪なルールですよ、みなさん。
"
213,"
買った商品は破損ばかり。その中でも酷い売り手に引っかかり、メルカリに相談したが、ユーザー同士の売買トラブルは、メルカリ配送以外は、関知しないので、ユーザー同士で解決しろとの事。売り手を法的処置で検討していると伝えると、対応し始めた。メルカリが単純に返金対応をするのだが、現金でなくメルペイで返金。現金化したければ振込料は、こちらもち。訴訟沙汰になれば、企業イメージダウンに繋がるから嫌嫌、対応した感
満載だ
対応する中でも言葉足らずで、意図がこちらに中々伝わらない。
例えば『残高（売上金含む）に補償した』と言われて、どう思うか。メルカリを良く知っている者なら理解出来るだろうが、初心者や、買いばかりで売ることをしないユーザーには、理解出来ない。その『残高』が解らず問い直してるのに、同じ回答を繰り返すのみ。だーかーら〜、さっきから伝えてるし～的な対応w
しかたなく、自らサイト内を徘徊して、やっと意味が解る。『残高』とは、メルペイのチャージ残金と言った所。
つまり、100％の返金はない。あわよくば、メルカリに金落とせと？
メルカリを使いたければ、詐欺まがいに引っ掛かるリスクを犯して使えばよい。また、消極的、非協力的、やる気なしサポートであることを心して売買すればよいのでは？
"
214,"
数年前よりメルカリを利用していますが、一番考えさせられるのは、送料です。送料をこちら持ちにするか、着払いで負担してもらうかで悩みます。何せ送料が高い。そして手数料も１割取られます。エグいです。高いの何のって、物によっては利益なんて殆ど出ない事になります。以前着払いで出品したら先方が見落としていたようで、着払いに気が付きキャンセルされました。そういう事もあるでしょうね。結果込に訂正したら利益が殆どなくなりました。利益より送料の方が高いという事になったのです。
捨てるよりまし。大きな物は出さない。この考えで居たほうが良いようです。
"
215,"
とにかく事務局が他の人も言ってる通り本当に最悪です
トラブルがあっても何ひとつ仲介してくれません
手数料高いくせに何のための事務局か分かりませんし
あと正規品でも調べもせずにすぐに削除
ペナルティ…
正直終わってます
ラクマやヤフオクの方が本当に全然いいです
"
216,"
対応の遅さ
毎度毎度決まりきった定型文
出品者を選んで優遇
小学生でもできるよね、こんな仕事
普段何をしているんだろうね。
"
217,"
Macの口紅を購入してお金を支払いしました。しかし、私のアカウントがメルカリによって削除されてしまっていたので、相手との交渉が出来なくなりました。メルカリにメールで削除された事を書いて送りましたが、返信なしです。
私の免許証、顔写真などメルカリ側は持っているので、商品は諦めますが個人情報を悪用されないか心配しております。
メルカリ詐欺に遭われた方はよく見ますが、会社がアカウントを削除するなんてとんでもないと思いました。
"
218,"
メルカリで長年作品を出品していましたが驚いたことに私のメルカリ出品作品が勝手に他のサイトで高額で販売されていました。
不審に思いよくサイト内を確認してみると私のメルカリに出品している私のロゴマーク付きの作品画像とメルカリ出品作品本文の説明文まで全て同一の物でした。つまりメルカリで出品した作品画像及び説明文をコピーアンドペーストして無断で販売されておりました。こういった事例はネットで検索しましたら沢山同じ被害にあっているユーザー様がおられるそうです。メルカリもしっかり対策をしていただきたいですね。
"
219,"
メルカリの良いところ
・すぐ売れる
・品揃いが豊富
・偽物など出品が少ない


メルカリの悪いところ
・お問い合わせをしても高確率で無視か数ヶ月放置されます。
・お問い合わせの回答が来ても放置される場合があります。
・運が悪いとaiの判断で見に覚えのない利用制限されます。
・対応するスタッフによって対応が全く違う
・お金を管理しているアプリなのに電話対応が無い
・本物証明(レシート、購入場所を記載)して出品しても商品が削除される
・利用者の数に対してスタッフが少なすぎて対応しきれていない
・消費者センターへ苦情や相談が増えているのに全く改善されない



cm、広告などにお金を回す前に　スタッフの増員をした方がいいと思います。
不正利用の対策として管理するのは分かりますが、　関係ない利用者の方々が沢山　利用制限の被害にあってます。
"
220,"
【商品・サービスを購入、利用したきっかけ】

エスタシオンの靴を購入された方がカビ臭いから返品したいと言ってきました。基本的返品も交換もしていないことをプロフィールに書いてあるにも関わらす返品したいから住所を教えろとのことで教えました。名前も教えろと言ったのですが匿名希望なのでニックネームで送り返してほしいと言いました。そうしたらメルカリ事務局が商品は返せないとのこと。名前を教えないと無理と言われました。クロネコヤマトなら取引があるから大丈夫と言っているのにもかかわらず品物は帰ってこず、おまけに送料まで引かれて入金されていました。勝手に返品を申し出た人にはお金が発生せずに商品が手に入ったわけです。おかしくないですか？そんな思いをした方いますか？メルカリ事務局もコンピューター応答なので出品者の被害者である私の気持ちは考えてくれません。どれだけ連絡しても何も返信がありません。メルカリは詐欺です。ただでクレームを付けて商品を手に入れた似せ購入者も詐欺師です。メルカリには気をつけてください。送料もしっかり引かれていました。
【良かった点】

なし！最低
【気になった点】

コンピューターで返答するのはやめてほしい
【今後も引き続き利用・使用したいか？】
全くしたくない！するわけがない
"
221,"
配送料がおかしいです。ネコポスで送ったのにメルカリ便に勝手に変えられて、利益が無くなりました。前回同じサイズのものを送ったときは大丈夫だったのに急に変えられて困惑と怒りが隠しきれません。同じ被害に遭っている方もたくさんいるので本当に残念です。まじでムカつきます。
"
222,"
以前にも出品したことのある、Ｊリーグクラブの会員特典のチケット（ゾーン指定の座席チケットと交換できるチケット）を出品した所、突然削除。訳も分からず困惑していたら、事務局からメールで『現在コロナ禍においての禁止出品物のため削除しました』と連絡が。
それなら仕方ないと思い、出品額の参考にした同一商品の出品はどうなっているのか確認してみたら、こちらは変わらずに出品されている。
事務局へ問い合わせてみたら、『違反される出品に対しては速やかに対応します。また個々の対応に関しての判断基準にはお答えしかねます。』と回答がきました。
しかし、それから1週間経とうが全く削除されずに出品され続けています。　
規約で現在は禁止になっていたことを知らずに出品したものを削除されるまでは納得できますが、全く同じ商品なのに何故削除されるものと出品出来るものとに真逆の対応なのか理解出来ません。
せめてこちらが納得できる理由くらいは答えるべきでは？
"
